Entity_ID;HashKey;EntityHashKey;Attribute;Value;CreateTimeStamp;EFFDT;TERMDT;Version;Status
Snowflake~DEFAULT~DEFAULT~MAX~44~max;4DAD0PO1G4HBRHTCNPKJES5G42;441P303RPQLS85CL2071UQPNVC;coordinate;[{"hashCode":"0","x":13,"y":9},{"hashCode":"0","x":13,"y":12}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~MIN~40~min;433Q98UTF39SUKT8S35I27RNPF;6ABAHPM0K7VDSM9EP3EQILL2NS;coordinate;[{"hashCode":"0","x":12,"y":9},{"hashCode":"0","x":12,"y":12}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~SUM~52~sum;78K49Q4VFTA15TKQP0U2CNU8OD;3IK3CE6RAKRGVP9LSKN8B2HC8M;coordinate;[{"hashCode":"0","x":15,"y":9},{"hashCode":"0","x":15,"y":12}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~RS-3~36~customer_id;4HIU0UETQCMSB37S4JVV6S1HPV;3UAM8OMQSRDT9F1G1KT3RP2E32;Snipets;        customer_id,;20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~RS-4~64~most_recent_order_date;4BSJD1D53EUINFHALJMNQEUM57;3S3PO94PE191K4H3N0D0HF7H9G;Snipets;        customer_orders.most_recent_order_date,;20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~CTE-ORDERS-1~33_0~CUSTOMER_ID;194HSN8NIIGKLAFBA2JMJD2E94;40DMG0K1Q3D358M7U2AM3H8DJC;Snipets;    select * from analytics.DBT_GGITHIRI.fct_orders;20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~MAX~44~max;3KQOGMUBPSKDKTLUPTU2OG4UG9;441P303RPQLS85CL2071UQPNVC;Snipets;        max(order_date) as most_recent_order_date,;20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~CTE-FINAL-1~72~first_name;3PVI5PL1RGVHFR65FN4B3JJTPD;5PF0VMAMKH73FLF9L8SSK8QHFM;Snipets;        customers.first_name,;20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~RS-1~14_2~LAST_NAME;6DO2MD69IP5H0ECLCJBQSBSL93;6M16DAU5149QM8HS2TR9QVEN7I;Snipets;    select * from analytics.DBT_GGITHIRI.stg_customers;20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~CTE-FINAL-1~75~most_recent_order_date;5NDKJM98UIR7PT5A6BAOFOCF33;1Q2S7C7PLUN13TL0255ODGRG50;Snipets;        customer_orders.most_recent_order_date,;20230801172336;20230801172336;99991231000000;1;I
